id,genero
617,hombre
618,hombre
619,hombre
620,hombre
621,otro
622,hombre
623,otro
624,hombre
625,mujer
626,mujer
627,hombre
628,otro
629,mujer
630,mujer
631,hombre
632,hombre
633,mujer
634,hombre
635,hombre
636,otro
637,mujer
638,mujer
639,otro
640,mujer
641,mujer
642,mujer
643,mujer
644,otro
645,otro
646,otro
647,mujer
648,otro
649,mujer
650,mujer
651,mujer
652,mujer
653,hombre
654,otro
655,mujer
656,otro
657,otro
658,otro
659,hombre
660,hombre
661,otro
662,mujer
663,otro
664,otro
665,mujer
666,hombre
667,mujer
668,hombre
669,otro
670,mujer
671,mujer
672,mujer
673,mujer
674,mujer
675,otro
676,hombre
677,otro
678,otro
679,hombre
680,otro
681,mujer
682,otro
683,hombre
684,hombre
685,otro
686,otro
687,otro
688,otro
689,mujer
690,mujer
691,hombre
692,otro
693,hombre
694,otro
695,otro
696,hombre
697,hombre
698,mujer
699,otro
700,otro
701,otro
702,mujer
703,mujer
704,otro
705,otro
706,hombre
707,otro
708,mujer
709,hombre
710,mujer
711,hombre
712,mujer
713,hombre
714,hombre
715,hombre
716,hombre
717,hombre
718,hombre
719,otro
720,mujer
721,mujer
722,hombre
723,otro
724,otro
725,hombre
726,otro
727,otro
728,mujer
729,hombre
730,hombre
731,otro
732,otro
733,otro
734,mujer
735,mujer
736,hombre
737,mujer
738,mujer
739,hombre
740,hombre
741,mujer
742,hombre
743,hombre
744,hombre
745,mujer
746,otro
747,hombre
748,mujer
749,otro
750,otro
751,otro
752,hombre
753,mujer
754,hombre
755,otro
756,hombre
757,hombre
758,hombre
759,otro
760,mujer
761,hombre
762,mujer
763,mujer
764,otro
765,mujer
766,mujer
767,mujer
768,mujer
769,mujer
770,hombre
771,hombre
772,mujer
773,otro
774,otro
775,mujer
776,mujer
777,otro
778,hombre
779,hombre
780,mujer
781,hombre
782,hombre
783,otro
784,hombre
785,otro
786,hombre
787,otro
788,hombre
789,hombre
790,hombre
791,mujer
792,mujer
793,mujer
794,hombre
795,otro
796,otro
797,otro
798,hombre
799,mujer
800,hombre
801,otro
802,hombre
803,hombre
804,mujer
805,otro
806,mujer
807,hombre
808,otro
809,hombre
810,mujer
811,mujer
812,mujer
813,otro
814,mujer
815,mujer
816,hombre
817,mujer
818,mujer
819,hombre
820,hombre
821,hombre
822,otro
823,mujer
824,hombre
825,mujer
826,otro
827,otro
828,hombre
829,otro
830,mujer
831,otro
832,otro
833,otro
834,otro
835,hombre
836,mujer
837,otro
838,mujer
839,otro
840,mujer
841,otro
842,mujer
843,hombre
844,mujer
845,mujer
846,otro
847,otro
848,hombre
849,mujer
850,hombre
851,hombre
852,otro
853,otro
854,mujer
855,otro
856,otro
857,mujer
858,hombre
859,otro
860,hombre
861,mujer
862,mujer
863,hombre
864,mujer
865,mujer
866,mujer
867,mujer
868,mujer
869,otro
870,hombre
871,mujer
872,mujer
873,hombre
874,hombre
875,mujer
876,otro
877,hombre
878,hombre
879,hombre
880,mujer
881,otro
882,otro
883,otro
884,mujer
885,otro
886,mujer
887,hombre
888,otro
889,otro
890,otro
891,mujer
892,hombre
893,mujer
894,mujer
895,otro
896,otro
897,hombre
898,otro
899,otro
900,hombre
901,hombre
902,mujer
903,mujer
904,hombre
905,mujer
906,hombre
907,hombre
908,hombre
909,hombre
910,otro
911,mujer
912,mujer
913,mujer
914,otro
915,mujer
916,otro
917,mujer
918,hombre
919,hombre
920,mujer
921,hombre
922,otro
923,mujer
924,mujer
925,hombre
926,hombre
927,otro
928,mujer
929,mujer
930,otro
931,otro
932,otro
933,hombre
934,otro
935,hombre
936,mujer
937,hombre
938,hombre
939,mujer
940,mujer
941,mujer
942,mujer
943,otro
944,hombre
945,otro
946,hombre
947,hombre
948,otro
949,hombre
950,mujer
951,mujer
952,mujer
953,mujer
954,mujer
955,otro
956,mujer
957,mujer
958,mujer
959,hombre
960,otro
961,otro
962,mujer
963,otro
964,otro
965,otro
966,otro
967,otro
968,hombre
969,hombre
970,hombre
971,mujer
972,otro
973,otro
974,mujer
975,mujer
976,hombre
977,otro
978,mujer
979,mujer
980,mujer
981,otro
982,hombre
983,otro
984,otro
985,hombre
986,hombre
987,hombre
988,mujer
989,otro
990,hombre
991,otro
992,otro
993,hombre
994,hombre
995,otro
996,otro
997,mujer
998,hombre
999,mujer
1000,hombre
